category,account_name,subtype,budget_2026_text,budget_2026_man_yen,budget_2025_text,budget_2025_man_yen,change_rate_pct
一般会計,一般会計,,"91億4,200万円",914200,"99億8,600万円",998600,-8.5
特別会計,国民健康保険特別会計,,"17億9,200万円",179200,"17億9,600万円",179600,-0.2
特別会計,駐車場事業特別会計,,800万円,800,760万円,760,5.3
特別会計,後期高齢者医療特別会計,,"4億9,800万円",49800,"4億6,310万円",46310,7.5
特別会計,交通災害共済事業特別会計,,"1,390万円",1390,"1,480万円",1480,-6.1
特別会計,温泉事業特別会計,,"2億5,860万円",25860,"2億7,300万円",27300,-5.3
特別会計,特別養護老人ホーム事業特別会計,,"2億8,750万円",28750,"2億7,520万円",27520,4.5
特別会計,東山田財産区会計,,130万円,130,160万円,160,-18.8
特別会計,特別会計合計,,"28億5,930万円",285930,"28億3,130万円",283130,1.0
合計,一般会計・特別会計 合計,,120億130万円,1200130,"128億1,730万円",1281730,-6.4
企業会計,水道事業会計,収益的支出,"2億8,320万円",28320,"2億8,390万円",28390,-0.2
企業会計,水道事業会計,資本的支出,"2億6,570万円",26570,"2億2,710万円",22710,17.0
企業会計,下水道事業会計,収益的支出,"6億3,060万円",63060,"6億1,630万円",61630,2.3
企業会計,下水道事業会計,資本的支出,"3億1,220万円",31220,"3億9,150万円",39150,-20.3
企業会計,企業会計合計,,"14億9,170万円",149170,"15億1,880万円",151880,-1.8
総合計,一般会計・特別会計・企業会計 合計,,"134億9,300万円",1349300,"143億3,610万円",1433610,-5.9
