item,budget_2026_text,budget_2026_man_yen,share_2026_pct,budget_2025_text,budget_2025_man_yen,share_2025_pct,change_rate_pct,sort_key
議会費,"9,975万円",9975,1.1,"9,881万円",9881,1.0,1.0,1.0
総務費,"11億3,728万円",113728,12.4,12億602万円,120602,12.1,-5.7,2.0
民生費,"31億1,803万円",311803,34.1,29億839万円,290839,29.1,7.2,3.0
衛生費,"5億6,712万円",56712,6.2,"5億8,265万円",58265,5.9,-2.7,4.0
労働費,"2,516万円",2516,0.3,"3,100万円",3100,0.3,-18.8,5.0
農林水産業費,"7,993万円",7993,0.9,"9,247万円",9247,0.9,-13.6,6.0
商工費,"9億8,228万円",98228,10.7,"8億6,474万円",86474,8.7,13.6,7.0
土木費,"7億5,434万円",75434,8.3,"10億2,193万円",102193,10.2,-26.2,8.0
消防費,"3億4,224万円",34224,3.7,"3億2,295万円",32295,3.2,6.0,9.0
教育費,"9億4,104万円",94104,10.3,"18億1,670万円",181670,18.2,-48.2,10.0
公債費,"10億8,683万円",108683,11.9,"10億3,234万円",103234,10.3,5.3,11.0
予備費,800万円,800,0.1,800万円,800,0.1,0.0,12.0
合計,"91億4,200万円",914200,100.0,"99億8,600万円",998600,100.0,-8.5,
