date,level,district,households,total_population,male,female
2025-04-01,総数,総数,8694,18275,8794,9481
2025-04-01,区,1区,1155,2399,1159,1240
2025-04-01,町区,東町上,74,170,87,83
2025-04-01,町区,東町中1,116,220,105,115
2025-04-01,町区,東町中2,106,242,115,127
2025-04-01,町区,東町下,81,176,86,90
2025-04-01,町区,仲町,55,107,52,55
2025-04-01,町区,大門1,89,173,84,89
2025-04-01,町区,大門2,119,254,121,133
2025-04-01,町区,大門3,47,81,37,44
2025-04-01,町区,田中町,49,105,55,50
2025-04-01,町区,矢木町1,67,122,63,59
2025-04-01,町区,矢木町2,72,156,72,84
2025-04-01,町区,矢木町3,85,175,81,94
2025-04-01,町区,桜町,125,267,122,145
2025-04-01,町区,緑町,70,151,79,72
2025-04-01,区,2区,487,987,455,532
2025-04-01,町区,立町1部,43,103,46,57
2025-04-01,町区,立町2部,51,97,42,55
2025-04-01,町区,小湯の上,94,193,83,110
2025-04-01,町区,横町木の下,18,34,15,19
2025-04-01,町区,湯田町,174,337,170,167
2025-04-01,町区,御田町,77,167,76,91
2025-04-01,町区,塚田町,30,56,23,33
2025-04-01,区,3区,3439,7166,3453,3713
2025-04-01,町区,大社通,26,53,29,24
2025-04-01,町区,友之町,39,103,52,51
2025-04-01,町区,広瀬町,44,88,37,51
2025-04-01,町区,富士見町,39,85,43,42
2025-04-01,町区,菅野町,56,108,47,61
2025-04-01,町区,上馬場,34,69,33,36
2025-04-01,町区,平沢,21,42,22,20
2025-04-01,町区,中央通,55,97,42,55
2025-04-01,町区,花咲町,29,47,16,31
2025-04-01,町区,中汐町,34,62,29,33
2025-04-01,町区,春日町,33,66,35,31
2025-04-01,町区,矢木東,68,135,62,73
2025-04-01,町区,矢木西,77,180,93,87
2025-04-01,町区,東弥生町,51,91,42,49
2025-04-01,町区,西弥生町,172,347,187,160
2025-04-01,町区,栄町,53,110,52,58
2025-04-01,町区,曙町,51,128,60,68
2025-04-01,町区,魁町,36,71,34,37
2025-04-01,町区,東四王,74,144,62,82
2025-04-01,町区,西四王1部,105,228,111,117
2025-04-01,町区,西四王2部,140,289,147,142
2025-04-01,町区,西四王3部,144,282,135,147
2025-04-01,町区,西四王4部,144,324,156,168
2025-04-01,町区,南四王1部,107,265,130,135
2025-04-01,町区,南四王2部,187,335,163,172
2025-04-01,町区,北四王,56,127,55,72
2025-04-01,町区,東鷹野町,155,375,184,191
2025-04-01,町区,西鷹野町1部,85,185,89,96
2025-04-01,町区,西鷹野町2部,205,406,186,220
2025-04-01,町区,清水町,187,405,174,231
2025-04-01,町区,東赤砂,520,1061,531,530
2025-04-01,町区,西赤砂,412,858,415,443
2025-04-01,区,4区,535,1152,571,581
2025-04-01,町区,上久保1,39,95,50,45
2025-04-01,町区,上久保2,40,77,39,38
2025-04-01,町区,久保海道1組,37,83,43,40
2025-04-01,町区,久保海道2組,39,94,51,43
2025-04-01,町区,湖畔町南,122,194,104,90
2025-04-01,町区,湖畔町北,77,175,79,96
2025-04-01,町区,武居南,86,214,103,111
2025-04-01,町区,武居北,95,220,102,118
2025-04-01,区,5区,598,1147,541,606
2025-04-01,町区,東高木,139,302,147,155
2025-04-01,町区,西高木,124,220,103,117
2025-04-01,町区,南高木,108,210,101,109
2025-04-01,町区,北高木,227,415,190,225
2025-04-01,区,6区,362,692,344,348
2025-04-01,町区,萩倉東,62,123,57,66
2025-04-01,町区,萩倉西,54,107,54,53
2025-04-01,町区,樋橋,7,15,8,7
2025-04-01,町区,東俣,6,10,5,5
2025-04-01,町区,町屋敷1組,70,129,60,69
2025-04-01,町区,町屋敷2組,62,113,57,56
2025-04-01,町区,町屋敷3組,55,97,51,46
2025-04-01,町区,下屋敷,46,98,52,46
2025-04-01,区,7区,688,1641,793,848
2025-04-01,町区,東山田第1・2,119,295,151,144
2025-04-01,町区,東山田第3・4,147,346,167,179
2025-04-01,町区,東山田第5,130,332,159,173
2025-04-01,町区,東山田第6,210,504,240,264
2025-04-01,町区,東山田第7,82,164,76,88
2025-04-01,区,8区,411,936,430,506
2025-04-01,町区,社東町第1,153,322,153,169
2025-04-01,町区,社東町第2,120,277,123,154
2025-04-01,町区,社東町第3,138,337,154,183
2025-04-01,町区,社東町第4,0,0,0,0
2025-04-01,区,9区,273,568,283,285
2025-04-01,町区,星が丘第1,64,143,70,73
2025-04-01,町区,星が丘第2,77,158,76,82
2025-04-01,町区,星が丘第3,63,128,65,63
2025-04-01,町区,星が丘第5,69,139,72,67
2025-04-01,区,10区,746,1587,765,822
2025-04-01,町区,西豊,133,309,147,162
2025-04-01,町区,西浜,72,169,81,88
2025-04-01,町区,高浜,179,377,191,186
2025-04-01,町区,東豊,53,100,47,53
2025-04-01,町区,本郷,81,171,83,88
2025-04-01,町区,五官,88,203,103,100
2025-04-01,町区,富ヶ丘,79,154,72,82
2025-04-01,町区,関屋,61,104,41,63
