year,era_year,total,korea_north_korea,china,philippines,brazil,other
2003,平成15,461,58,34,,,369
2004,平成16,489,59,48,,,382
2005,平成17,488,63,63,,,362
2006,平成18,516,62,94,,,360
2007,平成19,499,57,96,,,346
2008,平成20,472,58,118,,,296
2009,平成21,432,57,116,,,259
2010,平成22,386,58,108,,,220
2011,平成23,326,54,93,,,179
2012,平成24,314,58,89,,,167
2013,平成25,277,55,78,,,144
2014,平成26,279,56,63,58,50,52
2015,平成27,269,59,53,60,47,50
2016,平成28,260,54,43,62,37,64
2017,平成29,260,47,46,61,38,68
2018,平成30,284,40,50,67,40,87
2019,平成31,256,38,48,60,35,75
2020,令和2,283,34,53,77,35,84
2021,令和3,286,33,57,74,27,95
2022,令和4,291,27,52,80,27,105
2023,令和5,325,25,58,74,24,144
2024,令和6,338,24,54,76,21,163
