year,era_year,households,total_population,male,female,sex_ratio_male_per_100_female,population_density_per_km2
2004,平成16,8696,23088,11117,11971,92.9,345
2005,平成17,8662,22863,11053,11810,93.6,344
2006,平成18,8605,22465,10861,11604,93.6,335
2007,平成19,8659,22314,10785,11529,93.5,334
2008,平成20,8597,22125,10697,11428,93.6,331
2009,平成21,8500,21774,10507,11267,93.3,325
2010,平成22,8361,21532,10395,11137,93.3,322
2011,平成23,8388,21356,10299,11057,93.1,319
2012,平成24,8394,21217,10252,10965,93.5,317
2013,平成25,8335,20918,10125,10793,93.8,313
2014,平成26,8347,20698,10042,10656,94.2,310
2015,平成27,7946,20236,9749,10487,93.0,303
2016,平成28,7933,20061,9646,10415,92.6,300
2017,平成29,7957,19857,9574,10283,93.1,297
2018,平成30,7928,19626,9468,10158,93.2,293
2019,令和元,7842,19224,9266,9958,93.1,287
2020,令和2,7847,19155,9238,9917,93.2,286
2021,令和3,7801,18900,9134,9766,93.5,283
2022,令和4,7826,18712,9001,9711,92.7,280
2023,令和5,7794,18383,8861,9522,93.1,275
2024,令和6,7793,18083,8702,9381,92.8,270
