year,era_year,direction,total,within_nagano,outside_nagano_total,tokyo,kanagawa,yamanashi,aichi,other_prefectures
2004,平成16,in,1115,710,405,66,47,21,28,243
2005,平成17,in,1096,690,406,53,35,17,23,278
2006,平成18,in,1014,590,424,72,25,17,34,276
2007,平成19,in,1016,616,400,62,33,27,16,262
2008,平成20,in,888,570,318,81,31,9,14,183
2009,平成21,in,838,497,341,62,30,19,20,210
2010,平成22,in,866,586,280,58,24,14,14,170
2011,平成23,in,853,538,315,67,44,8,27,169
2012,平成24,in,744,479,265,46,22,14,19,164
2013,平成25,in,690,483,207,56,22,8,17,104
2014,平成26,in,640,430,210,34,31,8,10,127
2015,平成27,in,619,408,211,36,23,10,6,136
2016,平成28,in,645,427,218,57,20,11,15,115
2017,平成29,in,612,377,235,51,17,6,14,147
2018,平成30,in,680,423,257,52,27,19,15,144
2019,令和元,in,661,401,260,51,29,12,16,152
2020,令和2,in,608,403,205,39,16,10,14,126
2021,令和3,in,571,360,211,43,29,8,11,120
2022,令和4,in,626,341,285,52,42,4,16,171
2023,令和5,in,590,320,270,73,30,4,12,151
2024,令和6,in,536,275,261,58,30,9,15,149
2004,平成16,out,1214,745,469,79,55,23,46,266
2005,平成17,out,1195,786,409,85,28,19,35,242
2006,平成18,out,1263,751,512,95,34,21,41,321
2007,平成19,out,1126,743,383,77,36,13,31,226
2008,平成20,out,1065,706,359,76,33,10,26,214
2009,平成21,out,1038,602,436,80,42,30,23,261
2010,平成22,out,965,603,362,74,37,8,16,227
2011,平成23,out,880,569,311,61,26,13,24,187
2012,平成24,out,823,496,327,76,37,13,11,190
2013,平成25,out,808,495,313,71,32,16,24,170
2014,平成26,out,754,519,235,64,23,9,14,125
2015,平成27,out,742,478,264,72,22,13,15,142
2016,平成28,out,707,461,246,69,25,10,21,121
2017,平成29,out,705,443,262,55,31,12,20,144
2018,平成30,out,775,492,283,80,35,16,18,134
2019,令和元,out,794,480,314,84,26,23,17,164
2020,令和2,out,717,457,260,68,25,12,11,144
2021,令和3,out,594,397,197,61,23,11,8,94
2022,令和4,out,628,415,213,60,20,6,14,113
2023,令和5,out,622,357,265,72,18,11,18,146
2024,令和6,out,619,360,259,59,20,9,22,149
